ID,번호,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_lease_1,14,국민임대,"[선계약후검증, 동호지정] 도청이전신도시 RH-11BL 국민임대주택 입주자 추가모집 공고('24.11.01)",충청남도,2024.11.01,2024.11.15,접수마감,20450,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017110&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_2,15,국민임대,태백철암1 국민임대주택 예비입주자 모집 공고,강원특별자치도,2024.11.01,2024.11.15,접수마감,4255,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017107&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_3,16,국민임대,"[선계약후검증, 동호지정] 도청이전신도시 RH10-2BL 국민임대주택 입주자 추가모집 공고('24.11.01)",충청남도,2024.11.01,2024.11.15,접수마감,21948,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017109&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_4,26,영구임대,광주쌍촌 영구임대주택 예비입주자 모집 공고(공고일 : 2024.11.05),광주광역시,2024.11.05,2024.11.22,접수마감,17502,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017097&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_5,27,영구임대,광주각화 영구임대주택 예비입주자 모집 공고(공고일: 2024.11.05.),광주광역시,2024.11.05,2024.11.22,접수마감,10225,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017086&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_6,28,영구임대,아산읍내 영구임대주택 예비입주자 모집공고(공고일:2024.11.05),충청남도,2024.11.05,2024.11.22,접수마감,17015,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017090&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09
LH_lease_7,29,공공임대,익산부송3단지 50년 공공임대 예비입주자 모집,전북특별자치도,2024.11.05,2024.11.20,접수마감,7989,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017123&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08
LH_lease_8,31,국민임대,남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.05,2024.11.21,접수마감,48590,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017094&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
LH_lease_9,41,공공임대,음성금왕1 50년공공임대주택 예비입주자 모집 공고[2024.11.06],충청북도,2024.11.06,2024.11.20,접수마감,9422,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017130&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08
LH_lease_10,44,국민임대,[정정공고]남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.06,2024.11.21,접수마감,88350,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017134&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07
