ID,번호,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_sale_1,17,공공분양(신혼희망),양산사송 A-2블록 신혼희망타운(공공분양) 추가입주자 모집공고(잔금납부기간 변경),경상남도,2024.11.04,2025.03.06,접수마감,9034,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060768&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_2,23,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년 무이자할부 및 발코니 확장비 무상지원),경기도,2024.11.04,2024.11.08,접수마감,16955,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060771&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_3,33,분양주택,전주시(풍경빌) 임대주택 분양전환 후 잔여세대 일반매각 공고,전북특별자치도,2024.11.05,2024.12.10,접수마감,7589,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017125&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_4,43,분양주택,중동 경남아너스빌 공가세대 일반매각 공고,부산광역시,2024.11.06,2024.12.31,접수마감,16252,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017128&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_5,65,공공분양(신혼희망),의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.08,2024.11.21,접수마감,17969,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060770&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_6,68,분양주택,광주 다세대주택 잔여세대 일반매각 공고(선착순 동호지정 상시계약),광주광역시,2024.11.08,2025.12.31,공고중,21812,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017148&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_7,70,공공분양(신혼희망),[정정공고]의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.08,2024.11.21,접수마감,47629,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060775&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_8,99,공공분양(신혼희망),위례 A2-7블록 신혼희망타운(공공분양) 잔여세대 입주자모집공고,경기도,2024.11.13,2024.11.26,접수마감,105265,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060773&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_9,123,분양주택,"경북권(포항, 구미) 공가세대 일반매각 공고(동호지정순번추첨)",경상북도,2024.11.15,2024.11.26,접수마감,4603,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017166&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_10,129,공공분양(신혼희망),수원당수 A5블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.15,2024.11.28,접수마감,52060,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060776&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
