번호,제목,담당부서,등록일,조회수,URL
5261,NEW[청년형] 특화형 매입임대주택(양천구) 입주자 모집 공고(운영기관 : 사단법인 마을과사람),매입주택공급부,2025-11-17,555,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296159
5260,NEW[어반허브 서울 스테이션] 청년안심주택 예비1차 입주안내문 및 위임장 양식 게시,용산주거안심종합센터,2025-11-17,56,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296171
5259,NEWe편한세상 답십리 아르테포레 단지내 상가 중개알선 수수료 지급 선착순수의계약 분양 공고 종료 알림,정비사업지원부,2025-11-17,57,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296164
5258,제44차 장기전세주택(2024.06.27.공고) 예비 6차 입주대상자 발표,미리내집공급부,2025-11-14,3897,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296011
5257,행복주택 예비당첨자 게시,공공주택공급부,2025-11-14,2229,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296086
5256,2024년 2차 청년안심주택(2024. 7. 26. 공고) 예비6차 당첨자 발표,맞춤주택공급부,2025-11-14,1774,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296063
5255,제47차 장기전세주택 입주자 모집 공고(2025.4.30. 공고) 당첨자 및 예비입주자 발표,미리내집공급부,2025-11-14,3519,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295906
5254,[당첨자발표] 청년 매입임대주택 입주자모집 예비자 공급 대상자 발표(2024년 1차 예비6차) 및 계약안내,매입주택공급부,2025-11-14,1486,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296092
5253,2024년 제1차 국민임대주택(2024.09.26.공고) 예비4차 당첨자 및 동호배정 결과,공공주택공급부,2025-11-14,2091,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296088
5252,2021년 제1차 국민임대주택(2021.09.24.공고) 예비18차 당첨자 및 동호배정 결과,공공주택공급부,2025-11-14,950,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296087
5251,고덕강일지구(4·6·7·9·11·13·14단지) 및 내곡도시형생활주택 단지 내 상가 분양 입찰 공고,자산운영부,2025-11-14,696,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296068
5250,환경영향평가서등 대행 추진계획 및 환경영향평가업자의 사업수행능력 세부평가기준(안) 의견수렴 공고,도시환경부,2025-11-14,101,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296109
5249,[용산 남영역 롯데캐슬 헤리티지] 청년안심주택 예비1차 입주안내문 및 위임장 양식 게시,용산주거안심종합센터,2025-11-14,529,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296101
5248,[토지지원 사회주택] 유니버설디자인하우스 망우 입주자 모집공고,공공개발금융부,2025-11-14,6450,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=283662
5247,2025년 제2차 행복주택 입주자 모집공고(2025.6.27.공고) 당첨자 발표일 변경 안내,공공주택공급부,2025-11-13,6734,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296077
5246,2025년 영구임대주택 예비입주자 모집 공고,공공주택공급부,2025-11-13,926,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295992
5245,개포(구룡마을) 도시개발구역 이주촉진 및 관리용역 정성적 평가 점수표 게시,수탁보상부,2025-11-13,370,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296053
5244,[토지임대부 사회주택] 함께주택5호 203호 입주자 모집 공고문,빈집사업부,2025-11-12,4991,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296018
5243,위례지구 용지(복합 E1-1) 분양 공고,분양부,2025-11-12,1139,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295984
5242,고덕강일지구 및 내곡도시형생활주택 미매각 상가 “중개알선 수수료 지급”에 의한 선착순분양 종료 공고,자산운영부,2025-11-12,341,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295965
5241,제안서 평가위원회 결과 공지 [SH공동주택 조경특화모델 개발용역],조경설계부,2025-11-12,111,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=296021
5240,2025년 재개발임대주택 입주자 모집(2025.10.24.공고) 청약접수 결과안내,공공주택공급부,2025-11-11,15733,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295917
5239,2025년 재개발임대주택 입주자 모집(2025.10.24.공고) 접수마감 안내,공공주택공급부,2025-11-11,9639,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295914
5238,공사 직원 사칭 피싱(범죄) 주의 안내,청렴윤리부,2025-11-11,3034,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295985
5237,(주)온썸 리모델링형 사회주택 어느가족은평 입주자 모집 공고,청년주택부,2025-11-11,786,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295963
5236,고덕강일지구 용지 분양 개찰 결과,분양부,2025-11-10,465,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295934
5235,e편한세상 답십리 아르테포레 단지내 상가 중개알선 수수료 지급 선착순 수의계약 분양 공고,정비사업지원부,2025-11-10,527,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295907
5234,(주)온썸 리모델링형 사회주택 어느가족독산 입주자 모집 공고,청년주택부,2025-11-10,644,https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?seq=295897
